dept,num
DRAMA,242
DRAMA,248B
DRAMA,295
DRAMA,180
DRAMA,65
DRAMA,136
DRAMA,202
DRAMA,292
DRAMA,251C
DRAMA,257B
DRAMA,126W
DRAMA,101D
DRAMA,34
DRAMA,142
DRAMA,14
DRAMA,399
DRAMA,254
DRAMA,50B
DRAMA,198
DRAMA,293
DRAMA,280C
DRAMA,257E
DRAMA,109W
DRAMA,100
DRAMA,249
DRAMA,260A
DRAMA,101C
DRAMA,266
DRAMA,280B
DRAMA,297
DRAMA,294
DRAMA,259
DRAMA,35
EARTHSS,198W
EARTHSS,197
EARTHSS,168
EARTHSS,H198
EARTHSS,114
EARTHSS,H199A
EARTHSS,51
EARTHSS,199
EARTHSS,290
EARTHSS,190A
EARTHSS,134
EARTHSS,154
EARTHSS,200
EARTHSS,40A
EARTHSS,21
EARTHSS,140
EARTHSS,17
EARTHSS,242
EARTHSS,286A
EARTHSS,280A
EARTHSS,142
EARTHSS,45
EARTHSS,299
EARTHSS,192
EARTHSS,266
EARTHSS,1
EARTHSS,399
EARTHSS,116
EAS,190
EAS,299
EAS,15C
EAS,199
EAS,290
EAS,399
EAS,15J
EAS,110
EAS,220
EAS,55
EAS,140
EAS,150
ECO EVO,200A
ECO EVO,208
ECO EVO,203B
ECO EVO,205
ECO EVO,207
ECO EVO,210
ECO EVO,268
ECO EVO,399
ECO EVO,203A
ECO EVO,285
ECO EVO,227
ECO EVO,286
ECO EVO,201
ECO EVO,262
ECO EVO,221
ECON,147B
ECON,100C
ECON,145L
ECON,200A
ECON,220A
ECON,210D
ECON,197
ECON,122B
ECON,279
ECON,12
ECON,23
ECON,148
ECON,146A
ECON,161A
ECON,20A
ECON,203A
ECON,139
ECON,221A
ECON,190
ECON,272B
ECON,149
ECON,199
ECON,132A
ECON,290
ECON,154
ECON,15B
ECON,122A
ECON,20B
ECON,140
ECON,H190A
ECON,15A
ECON,100A
ECON,210A
ECON,123A
ECON,145E
ECON,115
ECON,131A
ECON,198
ECON,229
ECON,13
ECON,299
ECON,144A
ECON,25
ECON,134A
ECON,107
ECON,105A
ECON,1
EDUC,180
EDUC,295
EDUC,340
EDUC,323B
EDUC,338
EDUC,238
EDUC,120A
EDUC,131
EDUC,30
EDUC,198
EDUC,160
EDUC,347
EDUC,258
EDUC,222
EDUC,299
EDUC,100
EDUC,138
EDUC,50
EDUC,234
EDUC,25
EDUC,322A
EDUC,341
EDUC,193
EDUC,107
EDUC,212
EDUC,399
EDUC,146
EDUC,150
EDUC,147
EDUC,170
EDUC,176
EDUC,10
EDUC,108
EDUC,346
EDUC,106
EDUC,336
EDUC,104D
EDUC,104E
EDUC,179W
EDUC,298
EDUC,233A
EDUC,128
EDUC,320
EDUC,143BW
EDUC,337
EDUC,302
EDUC,55
EDUC,130
EDUC,326
EDUC,288A
EDUC,288B
EDUC,362
EDUC,339
EDUC,124
EDUC,229A
EDUC,301
EDUC,149
EDUC,199
EDUC,52
EDUC,122A
EDUC,305
EDUC,40
EDUC,140
EDUC,101
EDUC,15
EECS,1
EECS,241A
EECS,116
EECS,10
EECS,119
EECS,298
EECS,270AP
EECS,12
EECS,148
EECS,279
EECS,170A
EECS,70B
EECS,213
EECS,70LB
EECS,221
EECS,179
EECS,270A
EECS,213P
EECS,250
EECS,144
EECS,112
EECS,145
EECS,199
EECS,277A
EECS,40
EECS,287
EECS,31
EECS,118
EECS,248A
EECS,159A
EECS,295
EECS,160A
EECS,292
EECS,296
EECS,241AP
EECS,112L
EECS,215
EECS,170LA
EECS,299
EECS,293
EECS,50
EECS,160LA
EECS,20
EECS,260A
EECS,297
EECS,285B
EECS,152A
EECS,294
ECPS,203
ECPS,212
ECPS,206
ECPS,205
ECPS,210
ENGR,291
ENGR,190W
ENGR,290P
ENGR,210P
ENGR,1A
ENGR,H199
ENGR,30
ENGR,200AP
ENGR,211P
ENGR,100
ENGR,399
ENGR,54
ENGR,7A
ENGR,93
ENGR,150
ENGR,H196W
ENGR,196W
ENGR,191
ENGR,92
ENGR,80
ENGR,199
ENGLISH,198
ENGLISH,105
ENGLISH,299
ENGLISH,100
ENGLISH,399
ENGLISH,10
ENGLISH,8
ENGLISH,106
ENGLISH,210
ENGLISH,102C
ENGLISH,102D
ENGLISH,102A
ENGLISH,290
ENGLISH,199
ENGLISH,102B
ENGLISH,291
ENGLISH,101W
ENGLISH,15
ENGLISH,398
EPIDEM,232
EPIDEM,204A
EPIDEM,275
EPIDEM,280
EPIDEM,299
EPIDEM,298
EPIDEM,282
EPIDEM,200A
EPIDEM,296
EPIDEM,199
EPIDEM,297
EURO ST,199
EURO ST,11
EURO ST,101B
MGMT EP,290
MGMT EP,202
MGMT EP,208
MGMT EP,200
MGMT EP,203A
MGMT EP,225
FLM&MDA,130
FLM&MDA,190
FLM&MDA,144
FLM&MDA,199
FLM&MDA,110
FLM&MDA,85A
FLM&MDA,117A
FLM&MDA,194
FLM&MDA,120A
FLM&MDA,161
FLM&MDA,85C
FLM&MDA,162
FLM&MDA,198
FLM&MDA,160
FLM&MDA,192
FLM&MDA,101C
FLM&MDA,139W
FLM&MDA,399
FLM&MDA,H80
FLM&MDA,151
FLM&MDA,197
FIN,255
FIN,210
FIN,209B
FIN,211
FIN,203A
FRENCH,199
FRENCH,399
FRENCH,10
FRENCH,1A
FRENCH,150
FRENCH,119
FRENCH,2A
FRENCH,102A
MGMT FE,246C
MGMT FE,207
MGMT FE,214
MGMT FE,288
MGMT FE,295B
MGMT FE,200
MGMT FE,202
MGMT FE,204A
MGMT FE,246A
MGMT FE,209B
MGMT FE,247
MGMT FE,222
MGMT FE,290
MGMT FE,225
MGMT FE,292
MGMT FE,208
MGMT FE,251A
GDIM,167A
GDIM,55
GDIM,51
GDIM,31
GDIM,41
GEN&SEX,100D
GEN&SEX,50B
GEN&SEX,171
GEN&SEX,199
GEN&SEX,290
GEN&SEX,100A
GEN&SEX,399
GEN&SEX,110B
GERMAN,299
GERMAN,97
GERMAN,199
GERMAN,290
GERMAN,298
GERMAN,399
GERMAN,150
GERMAN,1A
GERMAN,101
GERMAN,2A
GLBLCLT,105
GLBLCLT,103A
GLBLCLT,103B
GLBL ME,60A
GREEK,100
GREEK,199
GREEK,1A
GREEK,99
GREEK,198
HEBREW,199
HISTORY,16A
HISTORY,200
HISTORY,270
HISTORY,175G
HISTORY,100W
HISTORY,148B
HISTORY,40C
HISTORY,183
HISTORY,169
HISTORY,260
HISTORY,131C
HISTORY,37A
HISTORY,204A
HISTORY,135G
HISTORY,299
HISTORY,70C
HISTORY,297
HISTORY,112D
HISTORY,170B
HISTORY,399
HISTORY,70D
HISTORY,10
HISTORY,182
HISTORY,15D
HISTORY,171E
HISTORY,70F
HISTORY,298
HISTORY,166D
HISTORY,12
HISTORY,114
HISTORY,132E
HISTORY,250
HISTORY,190
HISTORY,21A
HISTORY,126B
HISTORY,199
HISTORY,102B
HISTORY,291
HUMAN,52
HUMAN,260A
HUMAN,B1A
HUMAN,399
HUMAN,1A
HUMAN,195
HUMAN,270
HUMAN,1AS
HUMAN,298
HUMAN,H120
HUMAN,398B
HUMAN,H1AS
HUMAN,198
HUMAN,199
HUMAN,1AES
HUMAN,H140
IN4MATX,161
IN4MATX,131
IN4MATX,115
IN4MATX,299
IN4MATX,282
IN4MATX,171
IN4MATX,125
IN4MATX,231
IN4MATX,121
IN4MATX,244
IN4MATX,133
IN4MATX,43
IN4MATX,209S
IN4MATX,151
IN4MATX,298
IN4MATX,H198
IN4MATX,117
IN4MATX,141
IN4MATX,201
IN4MATX,290
IN4MATX,199
IN4MATX,191A
IN4MATX,H81
IN4MATX,101
IN4MATX,261
IN4MATX,164
IN4MATX,281
IN4MATX,280
I&C SCI,45C
I&C SCI,53L
I&C SCI,6B
I&C SCI,5
I&C SCI,6D
I&C SCI,H197
I&C SCI,53
I&C SCI,31
I&C SCI,33
I&C SCI,3
I&C SCI,80
I&C SCI,32
I&C SCI,163
I&C SCI,169A
I&C SCI,193
I&C SCI,32A
I&C SCI,192
I&C SCI,399
I&C SCI,139W
I&C SCI,46
I&C SCI,60
I&C SCI,10
I&C SCI,6N
I&C SCI,45J
I&C SCI,51
I&C SCI,398A
I&C SCI,90
INNO,215
INNO,211
INNO,203
INNO,290
INNO,205
INTL ST,17
INTL ST,210A
