dept,num
BIO SCI,N123L
BIO SCI,E120
BIO SCI,N117
BIO SCI,14
BIO SCI,100
BIO SCI,108
BIO SCI,E109
BIO SCI,M114L
BIO SCI,75
BIO SCI,2D
BIO SCI,6
BIO SCI,E106
BIO SCI,D190
BIO SCI,E117C
BIO SCI,M116L
BIO SCI,199
BIO SCI,199W
BIO SCI,D135
BATS,280
BATS,232
BATS,245A
BATS,295
BATS,251
BATS,299
BME,299
BME,195
BME,147
BME,197
BME,295P
BME,138
BME,295
BME,260
BME,297
BME,180C
BME,238
BME,296
BME,298
BME,121
BME,199P
BME,50B
BME,140
BME,60C
BME,222
BME,240
BME,170
BME,234
BME,110C
BME,199
BANA,290
BANA,211
BANA,241
BANA,288
BANA,295
BANA,298B
BANA,275
CBE,40C
CBE,150B
CBE,199
CBE,297
CBE,299
CBE,249
CBE,120C
CBE,262
CBE,220B
CBE,210
CBE,187
CBE,296
CBE,130
CBE,295
CBE,298
CBE,161
CHEM,M3LC
CHEM,264
CHEM,231C
CHEM,127
CHEM,180W
CHEM,280
CHEM,H180C
CHEM,1LC
CHEM,51LC
CHEM,251
CHEM,51C
CHEM,223
CHEM,M2C
CHEM,H90
CHEM,241
CHEM,100
CHEM,125
CHEM,292
CHEM,H2C
CHEM,291
CHEM,152
CHEM,1B
CHEM,232B
CHEM,199
CHEM,266
CHEM,132C
CHEM,299
CHEM,290
CHEM,254
CHEM,246
CHEM,197
CHEM,180
CHEM,138
CHEM,218
CHEM,267
CHEM,1C
CHEM,H181W
CHEM,192
CHEM,399
CHEM,193
CHEM,51A
CHEM,205
CHEM,268
CHC/LAT,158
CHC/LAT,65
CHC/LAT,139
CHC/LAT,H190C
CHC/LAT,178
CHC/LAT,64
CHC/LAT,135
CHC/LAT,61
CHC/LAT,166
CHC/LAT,150
CHC/LAT,62
CHC/LAT,199
CHC/LAT,299
CHC/LAT,290
CHC/LAT,178A
CHC/LAT,289
CHC/LAT,189
CHC/LAT,154
CHC/LAT,157
CHC/LAT,162A
CHC/LAT,198
CHC/LAT,183
CHINESE,2C
CHINESE,3C
CHINESE,199
CHINESE,1C
CHINESE,1MC
CHINESE,299
CHINESE,290
CHINESE,100C
CHINESE,115
ENGRCEE,289
ENGRCEE,258
ENGRCEE,297
ENGRCEE,181C
ENGRCEE,198
ENGRCEE,295
ENGRCEE,277
ENGRCEE,296
ENGRCEE,298
ENGRCEE,264
ENGRCEE,149
ENGRCEE,156
ENGRCEE,80
ENGRCEE,178
ENGRCEE,123
ENGRCEE,223
ENGRCEE,81A
ENGRCEE,150
ENGRCEE,124
ENGRCEE,151C
ENGRCEE,263
ENGRCEE,152
ENGRCEE,160
ENGRCEE,199
ENGRCEE,299
ENGRCEE,40
ENGRCEE,290
ENGRCEE,221B
ENGRCEE,225A
ENGRCEE,110
ENGRCEE,21
ENGRCEE,195
ENGRCEE,254
ENGRCEE,164
CLASSIC,45C
CLASSIC,199
CLASSIC,198
CLASSIC,299
CLASSIC,99
CLASSIC,399
CLASSIC,290
CLASSIC,280
CLASSIC,140
CLASSIC,192B
CLASSIC,36B
COGS,14P
COGS,109
COM LIT,105
COM LIT,190W
COM LIT,199
COM LIT,60C
COM LIT,10
COM LIT,299
COM LIT,290
COM LIT,210
COM LIT,399
COM LIT,130
COM LIT,132
COM LIT,291
COMPSCI,117
COMPSCI,145
COMPSCI,296P
COMPSCI,212
COMPSCI,H198
COMPSCI,175
COMPSCI,131
COMPSCI,178
COMPSCI,103
COMPSCI,122D
COMPSCI,137
COMPSCI,237
COMPSCI,259S
COMPSCI,284C
COMPSCI,122A
COMPSCI,203
COMPSCI,184C
COMPSCI,132
COMPSCI,161
COMPSCI,152
COMPSCI,216
COMPSCI,242
COMPSCI,269S
COMPSCI,199
COMPSCI,143A
COMPSCI,142A
COMPSCI,261
COMPSCI,236
COMPSCI,250B
COMPSCI,299
COMPSCI,118
COMPSCI,142B
COMPSCI,171
COMPSCI,290
COMPSCI,111
COMPSCI,162
COMPSCI,146
COMPSCI,295
COMPSCI,147
COMPSCI,261P
COMPSCI,122B
COMPSCI,206
COMPSCI,190
COMPSCI,297P
COMPSCI,165
COMPSCI,299P
COMPSCI,250P
COMPSCI,274B
COMPSCI,298P
COMPSCI,180B
COMPSCI,205
COMPSCI,145L
COMPSCI,298
COMPSCI,179
COMPSCI,121
COMPSCI,272
COMPSCI,200S
CRM/LAW,C239B
CRM/LAW,C167
CRM/LAW,C299
CRM/LAW,C149
CRM/LAW,C128
CRM/LAW,C122
CRM/LAW,C100
CRM/LAW,C175
CRM/LAW,C211
CRM/LAW,C196
CRM/LAW,C184
CRM/LAW,C182
CRM/LAW,C113
CRM/LAW,C106
CRM/LAW,C254
CRM/LAW,C7
CRM/LAW,C298
CRM/LAW,C260C
CRM/LAW,C114
CRM/LAW,C102
CRM/LAW,C261
CRM/LAW,C190
CRM/LAW,C139
CRM/LAW,C214
CRM/LAW,C240C
CRM/LAW,C253
CRM/LAW,C127
CRM/LAW,C10
CRM/LAW,C108
CRM/LAW,C111
CRM/LAW,C296
CRM/LAW,C203B
CRM/LAW,C250
CRM/LAW,C203A
CRM/LAW,C257
CRM/LAW,C169W
CRM/LAW,C136
