department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
MATH,5A,Calculus for Life Sciences,4,Vb,"Differential calculus with applications to life sciences. Exponential, logarithmic, and trigonometric functions. Limits, differentiation techniques, optimization and difference equations.",MATH 1B or AP Calculus AB or SAT Mathematics or ACT Mathematics. MATH 1B with a grade of C or better. AP Calculus AB with a minimum score of 3. SAT Mathematics with a minimum score of 650. ACT Mathematics with a minimum score of 29. Placement via the Calculus Placement exam (fee required) is also accepted.,School of Biological Sciences students have first consideration for enrollment.,,MATH 2A.,,,,,
MATH,5B,Calculus for Life Sciences,4,Vb,"Integral calculus and multivariable calculus with applications to life sciences. Integration techniques, applications of the integral, phase plane methods and basic modeling, basic multivariable methods.",MATH 5A or MATH 2A or AP Calculus AB or AP Calculus BC. AP Calculus AB with a minimum score of 4. AP Calculus BC with a minimum score of 3,School of Biological Sciences students have first consideration for enrollment. Cannot be taken for credit after MATH 2B.,,,,,,,
MATH,7A,Single-Variable Calculus I,4,Vb,"Introduction to derivatives, calculation of derivatives of algebraic and trigonometric functions; applications including curve sketching, related rates, and optimization. Exponential and logarithm functions.",MATH 1B or AP Calculus AB or SAT Mathematics or ACT Mathematics. MATH 1B with a grade of C or better. AP Calculus AB with a minimum score of 3. SAT Mathematics with a minimum score of 650. ACT Mathematics with a minimum score of 29. Placement via the Calculus Placement exam (fee required) is also accepted.,Mathematics Majors only.,,"MATH 2A, MATH 5A.",,,,,
MATH,7B,Single-Variable Calculus II,4,Vb,Definite integrals; the fundamental theorem of calculus. Applications of integration including finding areas and volumes. Techniques of integration. Infinite sequences and series.,MATH 2A or MATH 5A or AP Calculus AB or AP Calculus BC or MATH 7A. AP Calculus AB with a minimum score of 4. AP Calculus BC with a minimum score of 3,Mathematics Majors only.,,"MATH 2B, MATH 5B.",,,,,
MATH,8,Explorations in Functions and Modeling,4,,"Explorations of applications and connections in topics in algebra, geometry, calculus, and statistics for future secondary math educators. Emphasis on nonstandard modeling problems.",,,,,,,,,MATH 2A or AP Calculus AB or AP Calculus BC. AP Calculus AB with a minimum score of 4. AP Calculus BC with a minimum score of 3
MATH,9,Introduction to Programming for Numerical Analysis,4,II and Vb,"Introduction to computers and programming using Matlab and Mathematica. Representation of numbers and precision, input/output, functions, custom data types, testing/debugging, reading exceptions, plotting data, numerical differentiation, basics of algorithms. Analysis of random processes using computer simulations.",MATH 2A,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,10,Introduction to Programming for Data Science,4,II and VB,"Intro to algorithms in data science using Python and R. Basic concepts of Python, store, access, and manipulate data in lists; functions, methods, and packages; NumPy, Numerical stability, and accuracy. Gradient descent and Newton's method. Basics of R Programming.",,Mathematics Majors have first consideration for enrollment.,,,,,,,(MATH 2D or MATH H2D) and (MATH 3A or MATH H3A) and MATH 9
MATH,13,Introduction to Abstract Mathematics,4,,"Introduction to formal definition and rigorous proof writing in mathematics. Topics include basic logic, set theory, equivalence relations, and various proof techniques such as direct, induction, contradiction, contrapositive, and exhaustion.",MATH 2A or ICS 6D,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,105A,Numerical Analysis I,4,,"Introduction to the theory and practice of numerical computation with an emphasis on solving equations. Solving transcendental equations; linear systems, Gaussian elimination, QR factorization, iterative methods, eigenvalue computation, power method.",MATH 3A or MATH H3A. Familiarity with computer programming is required.,,,MAE 185.,,,,MATH 105LA,
MATH,105B,Numerical Analysis II,4,,Introduction to the theory and practice of numerical computation with an emphasis on topics from calculus and approximation theory. Lagrange interpolation; Gaussian quadrature; Fourier series and transforms; Methods from data science including least squares and L1 regression.,MATH 105A,,,,,,,MATH 105LB,
MATH,105LA,Numerical Analysis Laboratory,1,,Provides practical experience to complement the theory developed in Mathematics 105A.,,,,,,,,MATH 105A,
MATH,105LB,Numerical Analysis Laboratory,1,,Provides practical experience to complement the theory developed in Mathematics 105B.,,,,,,,,MATH 105B,
MATH,107,Numerical Differential Equations,4,,Theory and applications of numerical methods to initial and boundary-value problems for ordinary and partial differential equations.,MATH 3D and MATH 105A and MATH 105B,,,,,,,MATH 107L,
MATH,107L,Numerical Differential Equations Laboratory,1,,Provides practical experience to complement the theory developed in Mathematics 107.,,,,,,,,MATH 107,
MATH,110A,Optimization I,4,,"Introduction to optimization, linear search method, trust region method, Newton method, linear programming, linear, and non-linear least square methods.",,,,,,,,,(MATH 2D or MATH H2D) and (MATH 3A or MATH H3A) and MATH 10 and MATH 121A and MATH 121B
MATH,110B,Optimization II,4,,"The simplex method, interior point method, penalty barrier method, primal dual method, augmented Lagrangian method, and stochastic gradient method.",MATH 110A. MATH 110A with a grade of C or better,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,112A,Introduction to Partial Differential Equations and Applications,4,,"Introduction to ordinary and partial differential equations and their applications in engineering and science. Basic methods for classical PDEs (potential, heat, and wave equations). Classification of PDEs, separation of variables and series expansions, special functions, eigenvalue problems.",(MATH 2E or MATH H2E) and MATH 3D,,,,,,,,
MATH,112B,Introduction to Partial Differential Equations and Applications,4,,"Introduction to partial differential equations and their applications in engineering and science.  Basic methods for classical PDEs (potential, heat, and wave equations). Green functions and integral representations, method of characteristics.",MATH 112A,,,,,,,,
MATH,112C,Introduction to Partial Differential Equations and Applications,4,,"Nonhomogeneous problems and Green's functions, Sturm-Liouville theory, general Fourier expansions, applications of partial differential equations in different areas of science.",MATH 112B,,,,,,,,
MATH,113A,Mathematical Modeling in Biology,4,,"Discrete mathematical and statistical models; difference equations, population dynamics, Markov chains, and statistical models in biology.",MATH 2B or MATH 5B,,,,,,,,
MATH,113B,Mathematical Modeling in Biology,4,,"Linear algebra; differential equations models; dynamical systems; stability; hysteresis; phase plane analysis; applications to cell biology, viral dynamics, and infectious diseases.",MATH 2B or AP Calculus BC or MATH 5B. AP Calculus BC with a minimum score of 4,,,,,,,,
MATH,115,Mathematical Modeling,4,,"Mathematical modeling and analysis of phenomena that arise in engineering physical sciences, biology, economics, or social sciences.",MATH 112A and (MATH 2D or MATH H2D) and (MATH 3A or MATH H3A) and MATH 3D,,,,,,,,
MATH,117,Dynamical Systems,4,,"Introduction to the modern theory of dynamical systems including contraction mapping principle, fractals and chaos, conservative systems, Kepler problem, billiard models, expanding maps, Smale's horseshoe, topological entropy.",MATH 3D and MATH 140A,,,,,,,,
MATH,118,The Theory of Differential Equations,4,,"Existence and uniqueness of solutions, continuous dependence of solutions on initial conditions and parameteres, Lyapunov and asymptotic stability, Floquet theory, nonlinear systems, and bifurcations.",MATH 3D and MATH 140A,,,,,,,,
MATH,120A,Introduction to Abstract Algebra: Groups,4,,"Axioms for group theory; permutation groups, matrix groups. Isomorphisms, homomorphisms, quotient groups. Advanced topics as time permits. Special emphasis on doing proofs.",(MATH 3A or MATH H3A) and MATH 13. MATH 13 with a grade of C or better,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,120B,Introduction to Abstract Algebra: Rings and Fields,4,,"Basic properties of rings; ideals, quotient rings; polynomial and matrix rings. Elements of field theory.",MATH 120A. MATH 120A with a grade of C- or better,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,120C,Introduction to Abstract Algebra: Galois Theory,4,,"Galois Theory: proof of the impossibility of certain ruler-and-compass constructions (squaring the circle, trisecting angles); nonexistence of analogues to the ""quadratic formula"" for polynomial equations of degree 5 or higher.",MATH 120B,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,H120A,Honors Introduction to Graduate Algebra I,5,,"Introduction to abstract linear algebra, including bases, linear transformation, eigenvectors, canonical forms, inner products, and symmetric operators. Introduction to groups, rings, and fields, including examples of groups, group actions, Sylow theorems, modules over principal ideal domains, polynomials, and Galois groups.",(MATH 3A or MATH H3A) and MATH 13 and (MATH 120A or MATH 121A). MATH 13 with a grade of A or better. MATH 120A with a grade of A or better. MATH 121A with a grade of A or better,Mathematics Honors students only.,,,MATH 206A.,,,,
MATH,H120B,Honors Introduction to Graduate Algebra II,5,,"Introduction to abstract linear algebra, including bases, linear transformation, eigenvectors, canonical forms, inner products, and symmetric operators. Introduction to groups, rings, and fields, including examples of groups, group actions, Sylow theorems, modules over principal ideal domains, polynomials, and Galois groups.",MATH H120A,Mathematics Honors students only.,,,MATH 206B.,,,,
MATH,H120C,Honors Introduction to Graduate Algebra III,5,,"Introduction to abstract linear algebra, including bases, linear transformation, eigenvectors, canonical forms, inner products, and symmetric operators. Introduction to groups, rings, and fields, including examples of groups, group actions, Sylow theorems, modules over principal ideal domains, polynomials, and Galois groups.",MATH H120B,Mathematics Honors students only.,,,MATH 206C.,,,,
MATH,121A,Linear Algebra,4,,"Introduction to modern abstract linear algebra. Special emphasis on students doing proofs. Vector spaces, linear independence, bases, dimension. Linear transformations and their matrix representations. Theory of determinants.",(MATH 3A or MATH H3A) and MATH 13. MATH 13 with a grade of C or better,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,121B,Linear Algebra,4,,Introduction to modern abstract linear algebra. Special emphasis on students doing proofs. Canonical forms; inner products; similarity of matrices.,MATH 121A,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,130A,Probability I,4,,"Combinatorial probability, conditional probabilities, independence, discrete and continuous random variables, expectation and variance, common probability distributions.",(MATH 2A or AP Calculus BC or AP Calculus AB) and (MATH 2B or AP Calculus BC) and (MATH 3A or MATH H3A). AP Calculus BC with a minimum score of 3. AP Calculus AB with a minimum score of 4. AP Calculus BC with a minimum score of 4,,,,,,,,
MATH,130B,Probability II,4,,"Joint distributions, sums of independent random variables, conditional distributions and conditional expectation, covariances, moment generating functions, limit theorems.",MATH 130A or MATH 131A or STAT 120A,,,,,,,,
MATH,130C,Stochastic Processes,4,,"Markov chains, Brownian motion, Gaussian processes, applications to option pricing and Markov chain Monte Carlo methods.",MATH 130B,,,,,,,,
MATH,133A,Statistical Methods with Applications to Finance,4,,"Overview of probability, statistics, and financial concepts: distribution, point estimation, confidence interval, linear regression, hypothesis testing, principal component analysis, financial applications.",MATH 130A or MATH 131A or STAT 120A,,,,,,,,
MATH,133B,Statistical Methods with Applications to Finance,4,,"Overview of markets and options: asset modeling, Brownian motion, risk neutrality, option pricing, value at risk, MC simulations.",MATH 133A,,,,,,,,
MATH,133C,Statistical Methods with Applications to Finance,4,,"Overview of interest theory, time value of money, annuities/cash flows with payments that are not contingent, loans, sinking funds, bonds, general cash flow and portfolios, immunization, duration and convexity, swaps.",MATH 133B,,,,,,,,
MATH,134A,Fixed Income,4,,"Overview of interest theory, time value of money, annuities/cash flows with payments that are not contingent, loans, sinking funds, bonds, general cash flow and portfolios, immunization, duration and convexity, swaps.",MATH 130A or STAT 120A,,,MATH 133C.,,,,,
MATH,134B,Mathematics of Financial Derivatives,4,,General derivatives; call/put options; hedging and investment strategies: spreads and collars; risk management; forwards and futures; bonds.,MATH 134A or MATH 133C,,,MATH 133A.,,,,,
MATH,134C,Mathematical Models for Finance,4,,"General properties of options: option contracts (call and put options, European, American and exotic options); binomial option pricing model, Black-Scholes option pricing model; risk-neutral pricing formula using Monte-Carlo simulation; option greeks and risk management; interest rate derivatives, Markowitz portfolio theory.",MATH 134B or MATH 133A,Mathematics Majors have first consideration for enrollment.,,MATH 133B.,,,,,
MATH,140A,Elementary Analysis,4,,"Introduction to real analysis, including convergence of sequence, infinite series, differentiation and integration, and sequences of functions. Students are expected to do proofs.",(MATH 2B or AP Calculus BC) and (MATH 2D or MATH H2D) and (MATH 3A or MATH H3A) and MATH 13. AP Calculus BC with a minimum score of 4. MATH 13 with a grade of C or better,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,140B,Elementary Analysis,4,,"Introduction to real analysis including convergence of sequences, infinite series, differentiation and integration, and sequences of functions. Students are expected to do proofs.",MATH 140A. MATH 140A with a grade of C- or better,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,140C,Analysis in Several Variables,4,,"Rigorous treatment of multivariable differential calculus. Jacobians, Inverse and Implicit Function theorems.",MATH 140B,,,,,,,,
MATH,H140A,Honors Introduction to Graduate Analysis I,5,,"Construction of the real number system, topology of the real line, concepts of continuity, differential and integral calculus, sequences and series of functions, equicontinuity, metric spaces, multivariable differential and integral calculus, implicit functions, curves and surfaces.",(MATH 2E or MATH H2E) and (MATH 3A or MATH H3A) and MATH 13 and MATH 121A and MATH 140A and MATH 140B. MATH 2E with a grade of A or better. MATH H2E with a grade of A or better. MATH 13 with a grade of A or better. MATH 140A with a grade of A or better. MATH 140B with a grade of A or better,Mathematics Honors students only.,,,MATH 205A.,,,,
MATH,H140B,Honors Introduction to Graduate Analysis II,5,,"Construction of the real number system, topology of the real line, concepts of continuity, differential and integral calculus, sequences and series of functions, equicontinuity, metric spaces, multivariable differential and integral calculus, implicit functions, curves and surfaces.",MATH H140A,Mathematics Honors students only.,,,MATH 205B.,,,,
MATH,H140C,Honors Introduction to Graduate Analysis III,5,,"Construction of the real number system; topology of the real line; concepts of continuity, differential, and integral calculus; sequences and series of functions, equicontinuity, metric spaces, multivariable differential, and integral calculus; implicit functions, curves and surfaces.",MATH H140B,Mathematics Honors students only.,,,MATH 205C.,,,,
MATH,141,Introduction to Topology,4,,The elements of naive set theory and the basic properties of metric spaces. Introduction to topological properties.,MATH 140A,,,,,,,,
MATH,147,Complex Analysis,4,,"Rigorous treatment of basic complex analysis: analytic functions, Cauchy integral theory and its consequences, power series, residue calculus, harmonic functions, conformal mapping. Students are expected to do proofs.",,MATH 114A may not be taken for credit after MATH 147.,,,,,,,MATH 140A and MATH 140B
MATH,150,Introduction to Mathematical Logic,4,,First order logic through the Completeness Theorem for predicate logic.,MATH 13 or (ICS 6B and ICS 6D). MATH 13 with a grade of C- or better,,,"LPS 105B, PHIL 105B.",,,,,
MATH,161,Modern Geometry,4,,Euclidean Geometry; Hilbert's Axioms; Absolute Geometry; Hyperbolic Geometry; the Poincare Models; and Geometric Transformations.,MATH 13 or (ICS 6B and ICS 6D). MATH 13 with a grade of C- or better,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,162A,Introduction to Differential Geometry,4,,Applications of advanced calculus and linear algebra to the geometry of curves and surfaces in space.,(MATH 2E or MATH H2E) and (MATH 3A or MATH H3A) and MATH 3D,,,,,,,,
MATH,162B,Introduction to Differential Geometry,4,,Applications of advanced calculus and linear algebra to the geometry of curves and surfaces in space.,MATH 162A,,,,,,,,
MATH,173A,Introduction to Cryptology,4,,"Introduction to some of the mathematics used in the making and breaking of codes, with applications to classical ciphers and public key systems. Includes topics from number theory, probability, and abstract algebra.",(MATH 2B or AP Calculus BC) and (MATH 3A or MATH H3A) and MATH 13 or (ICS 6B and ICS 6D). AP Calculus BC with a minimum score of 4. MATH 13 with a grade of C or better,,,,,,,,
MATH,173B,Introduction to Cryptology,4,,"Introduction to some of the mathematics used in the making and breaking of codes, with applications to classical ciphers and public key systems. The mathematics which is covered includes topics from number theory, probability, and abstract algebra.",MATH 173A,,,,,,,,
MATH,175,Combinatorics,4,,"Introduction to combinatorics including basic counting principles, permutations, combinations, binomial coefficients, inclusion-exclusion, derangements, ordinary and exponential generating functions, recurrence relations, Catalan numbers, Stirling numbers, and partition numbers.",(MATH 2B or AP Calculus BC) and MATH 13. AP Calculus BC with a minimum score of 4. MATH 13 with a grade of C or better,,,,,,,,
MATH,176,Mathematics of Finance,4,,"After reviewing tools from probability, statistics, and elementary differential and partial differential equations, concepts such as hedging, arbitrage, Puts, Calls, the design of portfolios, the derivation and solution of the Blac-Scholes, and other equations are discussed.",MATH 3A or MATH H3A,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Mathematics Majors have first consideration for enrollment.,ECON 135.,,,,,,
MATH,180A,Number Theory,4,,"Introduction to number theory and applications. Divisibility, prime numbers, factorization. Arithmetic functions. Congruences. Quadratic residue. Diophantine equations. Introduction to cryptography.",(MATH 3A or MATH H3A) and MATH 13. MATH 13 with a grade of C or better,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,180B,Number Theory,4,,"Introduction to number theory and applications. Analytic number theory, character sums, finite fields, discrete logarithm, computational complexity. Introduction to coding theory. Other topics as time permits.",MATH 180A,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,184,History of Mathematics,4,,Topics vary from year to year. Some possible topics: mathematics in ancient times; the development of modern analysis; the evolution of geometric ideas. Students will be assigned individual topics for term papers.,MATH 120A and MATH 140A,Mathematics Majors have first consideration for enrollment.,,,,,,MATH 184L,
MATH,184L,History of Mathematics Lesson Lab,1,,"Aspiring math teachers research, design, present, and peer review middle school or high school math lessons that draw from history of mathematics topics.",PS 5,,,,,,,MATH 184,
MATH,192,Studies in the Learning and Teaching of Secondary Mathematics,2,,"Focus is on historic and current mathematical concepts related to student learning and effective math pedagogy, with fieldwork in grades 6-14.",,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
MATH,194,Problem Solving Seminar,2,,"Develops ability in analytical thinking and problem solving, using problems of the type found in the Mathematics Olympiad and the Putnam Mathematical Competition. Students taking the course in fall will prepare for and take the Putnam examination in December.",,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
MATH,195W,Mathematical Writing,4,Ib,"Techniques of mathematical writing and communication. Covers effectively writing mathematical papers, creating effective presentations, and communicating mathematics in a variety of media. Focuses on utilizing LaTeX for typesetting mathematics.",MATH 120A or MATH 121A or MATH 140A. MATH 120A with a grade of C or better. MATH 121A with a grade of C or better. MATH 140A with a grade of C or better. Satisfactory completion of the Lower-Division Writing requirement.,Mathematics Majors have first consideration for enrollment.,,,,,,,
MATH,199A,Special Studies in Mathematics,2-4,,Supervised reading. For outstanding undergraduate Mathematics majors in supervised but independent reading or research of mathematical topics.,,,,,,,Unlimited as topics vary.,,
MATH,199B,Special Studies in Mathematics,2-4,,Supervised reading. For outstanding undergraduate Mathematics majors in supervised but independent reading or research of mathematical topics.,,,,,,,Unlimited as topics vary.,,
MATH,199C,Special Studies in Mathematics,2-4,,Supervised reading. For outstanding undergraduate Mathematics majors in supervised but independent reading or research of mathematical topics.,,,,,,,Unlimited as topics vary.,,
MATH,205A,Introduction to Graduate Analysis,5,,"Construction of the real number system, topology of the real line, concepts of continuity, differential and integral calculus, sequences and series of functions, equicontinuity, metric spaces, multivariable differential and integral calculus, implicit functions, curves and surfaces.",(MATH 2E or MATH H2E) and (MATH 3A MATH H3A) and MATH 13. MATH 2E with a grade of A or better. MATH H2E with a grade of A or better. MATH 13 with a grade of C or better,,,,MATH H140A.,,,,
MATH,205B,Introduction to Graduate Analysis,5,,"Construction of the real number system, topology of the real line, concepts of continuity, differential and integral calculus, sequences and series of functions, equicontinuity, metric spaces, multivariable differential and integral calculus, implicit functions, curves and surfaces.",MATH 205A,,,,MATH H140B.,,,,
MATH,205C,Introduction to Graduate Analysis,5,,"Construction of the real number system, topology of the real line, concepts of continuity, differential and integral calculus, sequences and series of functions, equicontinuity, metric spaces, multivariable differential and integral calculus, implicit functions, curves and surfaces.",MATH 205B,,,,MATH H140C.,,,,
MATH,206A,Introduction to Graduate Algebra,5,,"Introduction to abstract linear algebra, including bases, linear transformation, eigenvectors, canonical forms, inner products, symmetric operators. Introduction to groups, rings, and fields including examples of groups, group actions, Sylow theorems, modules over principal ideal domains, polynomials, and Galois groups.",MATH 3A or MATH H3A,,,,MATH H120A.,,,,
MATH,206B,Introduction to Graduate Algebra,5,,"Introduction to abstract linear algebra, including bases, linear transformation, eigenvectors, canonical forms, inner products, symmetric operators. Introduction to groups, rings, and fields including examples of groups, group actions, Sylow theorems, modules over principal ideal domains, polynomials, and Galois groups.",MATH 206A,,,,MATH H120B.,,,,
MATH,206C,Introduction to Graduate Algebra,5,,"Introduction to abstract linear algebra, including bases, linear transformation, eigenvectors, canonical forms, inner products, symmetric operators. Introduction to groups, rings, and fields including examples of groups, group actions, Sylow theorems, modules over principal ideal domains, polynomials, and Galois groups.",MATH 206B,,,,MATH H120C.,,,,
MATH,210A,Real Analysis,4,,"Measure theory, Lebesgue integral, signed measures, Radon-Nikodym theorem, functions of bounded variation and absolutely continuous functions, classical Banach spaces, Lp spaces, integration on locally compact spaces and the Riesz-Markov theorem, measure and outer measure, product measure spaces.",MATH 140C,,,,,,,,
MATH,210B,Real Analysis,4,,"Measure theory, Lebesgue integral, signed measures, Radon-Nikodym theorem, functions of bounded variation and absolutely continuous functions, classical Banach spaces, Lp spaces, integration on locally compact spaces and the Riesz-Markov theorem, measure and outer measure, product measure spaces.",MATH 210A,,,,,,,,
MATH,210C,Real Analysis,4,,"Measure theory, Lebesgue integral, signed measures, Radon-Nikodym theorem, functions of bounded variation and absolutely continuous functions, classical Banach spaces, Lp spaces, integration on locally compact spaces and the Riesz-Markov theorem, measure and outer measure, product measure spaces.",MATH 210B,,,,,,,,
MATH,218A,Introduction to Manifolds and Geometry,4,,"General topology and fundamental groups, covering space; Stokes theorem on manifolds, selected topics on abstract manifold theory.",MATH 205C,,,,,,,,
MATH,218B,Introduction to Manifolds and Geometry,4,,"General topology and fundamental groups, covering space; Stokes theorem on manifolds, selected topics on abstract manifold theory.",MATH 218A,,,,,,,,
MATH,218C,Introduction to Manifolds and Geometry,4,,"General topology and fundamental groups, covering space; Stokes theorem on manifolds, selected topics on abstract manifold theory.",MATH 218B,,,,,,,,
MATH,220A,Analytic Function Theory,4,,Standard theorems about analytic functions. Harmonic functions. Normal families. Conformal mapping.,MATH 140C,,,,,,,,
MATH,220B,Analytic Function Theory,4,,Standard theorems about analytic functions. Harmonic functions. Normal families. Conformal mapping.,MATH 220A,,,,,,,,
MATH,220C,Analytic Function Theory,4,,Standard theorems about analytic functions. Harmonic functions. Normal families. Conformal mapping.,MATH 220B,,,,,,,,
MATH,222A,Several Complex Variables and Complex Geometry,4,,"Several Complex variables, d-bar problems, mappings, Kaehler geometry, de Rham and Dolbeault Theorems, Chern Classes, Hodge Theorems, Calabi conjecture, Kahler-Einstein geometry, Monge-Ampere.",MATH 218C and MATH 220C,,,,,,,,
MATH,225A,Introduction to Numerical Analysis and Scientific Computing,4,,"Introduction to fundamentals of numerical analysis from an advanced viewpoint. Error analysis, approximation of functions, nonlinear equations.",MATH 3D and (MATH 105A and MATH 105B) or (MATH 140A and MATH 140B) and MATH 121A and (MATH 112A or MAE 140),Graduate students only.,,,,,,,
MATH,225B,Introduction to Numerical Analysis and Scientific Computing,4,,"Introduction to fundamentals of numerical analysis from an advanced viewpoint. Numerical linear algebra, numerical solutions of differential equations; stability.",MATH 225A,Graduate students only.,,,,,,,
MATH,225C,Introduction to Numerical Analysis and Scientific Computing,4,,"Introduction to fundamentals of numerical analysis from an advanced viewpoint. Numerical linear algebra, numerical solutions of differential equations; stability.",MATH 225B,Graduate students only.,,,,,,,
MATH,226A,Computational Differential Equations,4,,"Finite difference and finite element methods. Quick treatment of functional and nonlinear analysis background: weak solution, Lp spaces, Sobolev spaces. Approximation theory. Fourier and Petrov-Galerkin methods; mesh generation. Elliptic, parabolic, hyperbolic cases in 226A-B-C, respectively.",MATH 3D and (MATH 112A or MAE 140) and (MATH 140B or MATH 105B),,,,,,,,
MATH,226B,Computational Differential Equations,4,,"Finite difference and finite element methods. Quick treatment of functional and nonlinear analysis background: weak solution, Lp spaces, Sobolev spaces. Approximation theory. Fourier and Petrov-Galerkin methods; mesh generation. Elliptic, parabolic, hyperbolic cases in 226A-B-C, respectively.",MATH 226A,,,,,,,,
