department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
MGMT,125,Negotiations,4,,"The objective is to assist students in developing an understanding of different theoretical perspectives and develop their skills in negotiating. Exploration of feelings and beliefs about negotiation, negotiation skills, and putting theory into action by practicing new negotiation skills.",MGMT 102,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,126,Foundations of Teams,4,,Social and psychological processes that detract from effective teamwork and collaboration. Tools to understand how to be a better team member are introduced. Provides the foundation for students to become effective team leaders and to manage difficult team situations.,,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,128,International Management,4,VIII,"Impact of different cultures and political/economic systems on assumptions, expectations, and organizational practices relevant to conducting business in different national settings. Understanding of the challenges of cross-national management and resources utilized to work and conduct business outside the United States.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,129,Leadership,4,,"Case analyses, free-form discussion, and written assignments designed to develop critical thinking skills, as well as knowledge of approaches to differing leadership challenges. Experiential exercises encourage students to develop their ability to innovate, foster collaboration, manage conflict, and value diversity.",MGMT 102,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,131A,Intermediate Accounting I,4,,"First course in a series of two intermediate-level courses in financial accounting theory and practice. Concepts include the measurement, valuation and reporting of current and long-term assets, current liabilities, and revenue recognition issues.",MGMT 30A and MGMT 30B,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,131B,Intermediate Accounting II,4,,"Second course in a series of two intermediate-level courses in financial accounting theory and practice. Concepts include the measurement, valuation, and reporting of long-term liabilities and contingencies, accounting for stockholders' equity, and the Statement of Cash Flows.",MGMT 131A,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,131C,Intermediate Accounting III,4,,"Third in a three-part series (A, B, and C). Focuses on developing knowledge related to investments, debt/equity issues, accounting for income taxes, pensions, leases, and revenue recognition.",MGMT 131B,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,132A,Individual Taxation,4,,"Fundamentals of federal income taxation pertaining to individuals. Topics include income, deductions, credits, property transactions, and the impact of taxes on business and investment decisions.",MGMT 30B,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,133,Corporate and Partnership Taxation,4,,"Fundamentals of federal income taxation pertaining to partnerships and corporations, including subchapter S corporations. Emphasis on the tax issues associated with formation, operation, and termination of these entities.",MGMT 132A,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,136,Accounting Information Systems & Spreadsheets,4,,Fundamentals of accounting information systems including internal controls and transaction processing cycles. Development of efficient spreadsheets as applied to financial and managerial accounting concepts.,MGMT 30B,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,137,Advanced Accounting,4,,"Covers advanced concepts in accounting theory and practice. Topics include business combinations, consolidated financial statements, foreign exchange transactions, international, and governmental/nonprofit accounting standards.",MGMT 131B,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,138,Auditing,4,,"An introduction to auditing practice with emphasis on the verification of financial statements and related information. Topics include professional ethics, assessment of audit risk, study and evaluation of internal control, gathering and evaluating audit evidence, and audit reporting.",MGMT 131B,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,141,Investments,4,,"Foundations of investment management.  Theory and empirical evidence related to portfolio theory, market efficiency, asset pricing models, factor models, and option pricing theory. Students are expected to combine market research results and electronic information sources to create optimal investment strategies.",MGMT 109,Business Administration Majors have first consideration for enrollment.,,ECON 132A.,,,,,
MGMT,144,Multinational Finance,4,,"Focuses on financial issues facing multinational corporations, the most important of which is the management of foreign exchange risk. Introduction to investments and financing decisions in international capital markets.",MGMT 109 and (ECON 20A or MGMT 4A) and (ECON 20B or MGMT 4B),Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,146A,Introduction to the Real Estate Process,4,,"Introductory survey course providing a working knowledge of the real estate market, both residential and commercial. Topics include real estate economics, appraisal, feasibility, investment, tax considerations, financing, and development. Lectures and cases, with supplemental presentations by real estate professionals.",,Upper-division students only. Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,147,Applied Financial Valuation,4,,Case study course designed to confront students with real-world financial valuation problems. Situations are chosen to enhance students' understanding of the application of finance theory. The principal focus is on estimating the value of firms and projects in diverse settings.,MGMT 109 and MGMT 141,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,149,Derivatives,4,,"Introduction to financial derivatives. Covers forward contracts, futures, swaps, and options. Applications of these instruments, including pricing and risk management, are emphasized.",MGMT 109,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,150,Consumer Behavior,4,,"Application of the behavioral sciences to understanding buyer behavior.  Topics include perception, memory, affect, learning, persuasion, motivation, behavioral decision theory, social and culture influences, and managerial implications.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,151,Marketing Research,4,,"Research to aid managerial decisions for products and services; problem formulation, research design, data collection, sampling, statistical analyses, managerial recommendations, and implementation in several real-world settings.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,153,Sales Management,4,,"Designed for students interested in learning about sales force management and personal selling by firms engaged in business-to-business and consumer goods/services marketing. Covers advantages of personal selling, how to perform sales calls, challenges of sales managers, roles of buying centers.",,Business Information Mgmt Majors have first consideration for enrollment. Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,154,Global Marketing,4,,"Students are exposed to the challenges and opportunities facing marketers in the international marketplace. Special attention is given to the management of cultural differences in product development, distribution systems, pricing, and promotion.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,155,Brand Management,4,,"Introduction to issues in planning, implementing, and evaluating brand strategies, relevant theories, models, and tools for the making of brand decisions; application of these principles.",MGMT 105,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,156,Pricing Strategy,4,,"Provides a framework for designing and analyzing pricing strategies. Emphasizes role of pricing in the marketing-mix decisions and broader marketing strategy of a firm. Incorporates study of various economic, psychological, competitive, and organizational foundations that enter into effective pricing decisions.",MGMT 105,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,157,Marketing on the Internet,4,,"Recent developments in interactive technologies indicate that marketing on the internet is becoming a serious business activity, with exponential growth. How to do marketing on the Internet and identify the key issues pertaining to the marketing process.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,165,U.S,4,,"Providers, suppliers, payers, consumers, and the unique market dynamics among these players. Structure, organization, and financing of health care. The health care industry's relationship to the overall economy will be explored.",,Business Administration Majors have first consideration for enrollment. Business Information Mgmt Majors have first consideration for enrollment.,,,,,,,
MGMT,166,Business of Medicine,4,,"In order to improve the quality and efficiency of health care delivery one must understand the design and management of health care operations. Opportunities for innovation and changes needed to design a simple, accessible, fair, and effective health care system.",,Business Administration Majors have first consideration for enrollment. Business Information Mgmt Majors have first consideration for enrollment.,,,,,,,
MGMT,171,Social Media,4,,"Covers theoretical aspects and business applications of social media tools including blogs, wikis, social networking platforms, immersive environments, and other social computing technologies. Also covers business value of social-media-enabled processes.",,Business Administration Majors have first consideration for enrollment. Business Information Mgmt Majors have first consideration for enrollment.,,,,,,,
MGMT,173,Business Intelligence for Analytical Decisions,4,,"BI from both managerial and technical perspectives. Learn to apply a variety of data mining techniques to learn business intelligence embedded in data, and apply that intelligence to run your business more efficiently. These techniques are useful in different areas.",MGMT 107,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,174,Database Management and Applications,4,,"Query, manipulate, and understand data and learn about leading edge applications for databases.  Database fundamentals including entity relationship design, creating database tables, normalization, and data querying.  Contemporary applications of database using case studies.  Applications include data warehousing, data mining.",MGMT 107,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,176,Digital Strategies,4,,Covers business strategies for firms that make technology products. Insights are applicable not only to industries that make information and technology goods but also to industries that leverage digitization and network effects for their products.,,Business Administration Majors only.,,,,,,,
MGMT,178,Management of Information Technology,4,,"Strategic use and impact of information technology (IT) in organizations. Covers what IT is, and how it works, business value of IT, and IT strategies that organizations can employ to create value.",MGMT 107,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,182,Supply Chain Management,4,,"Flows of materials and information among all of the firms that contribute to a product or service. Forecasting, demand management, logistical networks, inventory management, supplier contracting, sourcing, information technology, flexibility, globalization, and performance management.",MGMT 101,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,189,Operations Management,4,,"Managing the productive resources, from which raw materials as inputs are being transformed into useful outputs of final products and services. Explanation of issues pertaining to both manufacturing and services-oriented systems.",MGMT 101,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,190,Special Topics in Management,2-4,,Studies in selected areas of management. Topics addressed vary each quarter.,Prerequisites vary.,Business Administration Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
MGMT,191W,Business Communication,4,Ib,"Provides students with a solid foundation in business communication. Emphasis is placed on improving students' written and oral communication skills to help them succeed in (1) upper-division Business Administration courses, (2) graduate school, and (3) work and career activities.",Satisfactory completion of the Lower-Division Writing requirement.,Business Administration Majors only.,,,,,,,
MGMT,192,Business Law,4,,"A study of the legal environment of business.  Topics include contracts, agency, partnerships, corporations, and other basic principles of law as they relate to business transactions.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,194,Financial Statement Analysis,4,,"Study of financial statements and their related footnotes; tools and procedures common to financial statement analysis; relationships among business transactions, environmental forces (political, economic, social), and reported financial statement information; how financial statement information can help solve certain business problems.",MGMT 30A and MGMT 30B,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,198A,Administrative Internship,4,,"Selected undergraduates serve as managers within administrative units on campus with a three-quarter course which complements the intern experience. Topics include management ethics, study of non- and for-profit institutions, career management, and the changing nature of the workforce.",,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
MGMT,198B,Administrative Internship,4,,"Selected undergraduates serve as managers within administrative units on campus with a three-quarter course which complements the intern experience. Topics include management ethics, study of non- and for-profit institutions, career management, and the changing nature of the workforce.",,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
MGMT,198C,Administrative Internship,4,,"Selected undergraduates serve as managers within administrative units on campus with a three-quarter course which complements the intern experience. Topics include management ethics, study of non- and for-profit institutions, career management, and the changing nature of the workforce.",,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
MGMT,199,Independent Study,1-4,,Individual study under the direction of a selected faculty member.,,,,,,,May be repeated for credit unlimited times.,,
