dept,num
CHC/LAT,290
CHC/LAT,150
CHC/LAT,63
CHC/LAT,H190C
CHC/LAT,198
CHC/LAT,199
CHC/LAT,148
CHC/LAT,64
CHC/LAT,189
CHINESE,201
CHINESE,213B
CHINESE,299
CHINESE,3C
CHINESE,199
CHINESE,2C
CHINESE,100C
CHINESE,290
CHINESE,1MC
CHINESE,1C
ENGRCEE,160
ENGRCEE,258
ENGRCEE,254
ENGRCEE,295
ENGRCEE,296
ENGRCEE,80
ENGRCEE,151C
ENGRCEE,149
ENGRCEE,81A
ENGRCEE,123
ENGRCEE,110
ENGRCEE,150L
ENGRCEE,195
ENGRCEE,152
ENGRCEE,164
ENGRCEE,281
ENGRCEE,228B
ENGRCEE,220C
ENGRCEE,299
ENGRCEE,221B
ENGRCEE,178
ENGRCEE,262
ENGRCEE,289
ENGRCEE,298
ENGRCEE,181C
ENGRCEE,242
ENGRCEE,156
ENGRCEE,291
ENGRCEE,223
ENGRCEE,21
ENGRCEE,150
ENGRCEE,264
ENGRCEE,278
ENGRCEE,198
ENGRCEE,199
ENGRCEE,124
ENGRCEE,297
CLASSIC,170
CLASSIC,99
CLASSIC,290
CLASSIC,192B
CLASSIC,299
CLASSIC,280
CLASSIC,45C
CLASSIC,199
CLASSIC,399
CLASSIC,198
CLASSIC,36B
COGS,110
COGS,109
COM LIT,299
COM LIT,60C
COM LIT,199
COM LIT,291
COM LIT,210
COM LIT,123
COM LIT,10
COM LIT,100A
COM LIT,399
COM LIT,190W
COM LIT,290
COM LIT,105
COM LIT,160
COMPSCI,145L
COMPSCI,206
COMPSCI,245
COMPSCI,242
COMPSCI,143A
COMPSCI,200S
COMPSCI,122A
COMPSCI,103
COMPSCI,231P
COMPSCI,184C
COMPSCI,290
COMPSCI,206P
COMPSCI,162
COMPSCI,117
COMPSCI,266
COMPSCI,213
COMPSCI,175
COMPSCI,278
COMPSCI,238
COMPSCI,179
COMPSCI,167
COMPSCI,145
COMPSCI,122B
COMPSCI,199
COMPSCI,259S
COMPSCI,284C
COMPSCI,216
COMPSCI,274B
COMPSCI,190
COMPSCI,295
COMPSCI,134
COMPSCI,171
COMPSCI,274C
COMPSCI,165
COMPSCI,172B
COMPSCI,237
COMPSCI,274P
COMPSCI,161
COMPSCI,111
COMPSCI,164
COMPSCI,274D
COMPSCI,299P
COMPSCI,146
COMPSCI,142B
COMPSCI,172C
COMPSCI,299
COMPSCI,121
COMPSCI,273P
COMPSCI,261P
COMPSCI,178
COMPSCI,269S
COMPSCI,132
COMPSCI,250B
COMPSCI,114
COMPSCI,298
COMPSCI,261
COMPSCI,238P
COMPSCI,142A
COMPSCI,H198
COMPSCI,137
COMPSCI,131
CRM/LAW,C296
CRM/LAW,C275
CRM/LAW,H80
CRM/LAW,C7
CRM/LAW,C196
CRM/LAW,C178
CRM/LAW,C111
CRM/LAW,C214
CRM/LAW,C268
CRM/LAW,C140
CRM/LAW,C201
CRM/LAW,C164
CRM/LAW,C190
CRM/LAW,C10
CRM/LAW,C254
CRM/LAW,C298
CRM/LAW,C211
CRM/LAW,C252
CRM/LAW,C107
CRM/LAW,C299
CRM/LAW,C221
CRM/LAW,C253
CRM/LAW,C100
CRM/LAW,C115
CRM/LAW,C222
CRM/LAW,C101
CRM/LAW,C102
CRM/LAW,C260C
CRM/LAW,C136
CLT&THY,289
CLT&THY,298
CLT&THY,280
CLT&THY,299
CLT&THY,200C
DANCE,251C
DANCE,241C
DANCE,231C
DANCE,90C
DANCE,142C
DANCE,193
DANCE,197
DANCE,171
DANCE,3
DANCE,165
DANCE,195
DANCE,134C
DANCE,164
DANCE,286
DANCE,285
DANCE,60C
DANCE,399
DANCE,178
DANCE,172
DANCE,21A
DANCE,153C
DANCE,143C
DANCE,133C
DANCE,261B
DANCE,103
DANCE,144C
DANCE,132C
DANCE,135C
DANCE,283
DANCE,201
DANCE,199
DANCE,297
DANCE,152C
DEV BIO,203C
DEV BIO,206C
DEV BIO,212
DEV BIO,292B
DEV BIO,200R
DEV BIO,292C
DEV BIO,399
DEV BIO,200C
DEV BIO,290C
DRAMA,194
DRAMA,271
DRAMA,290
DRAMA,249
DRAMA,100
DRAMA,101E
DRAMA,264
DRAMA,201
DRAMA,191
DRAMA,101D
DRAMA,198
DRAMA,199
DRAMA,145
DRAMA,202
DRAMA,225
DRAMA,203
DRAMA,211
DRAMA,241
DRAMA,129W
DRAMA,293
DRAMA,297
DRAMA,255
DRAMA,294
DRAMA,219
DRAMA,34
DRAMA,220
DRAMA,254
DRAMA,280D
DRAMA,190
DRAMA,257B
DRAMA,295
DRAMA,80
DRAMA,101S
DRAMA,260B
DRAMA,193
DRAMA,123
DRAMA,118W
DRAMA,195
DRAMA,30C
DRAMA,130
DRAMA,206
DRAMA,257A
DRAMA,177
DRAMA,142
DRAMA,282
DRAMA,50C
DRAMA,101A
DRAMA,118
DRAMA,129
DRAMA,257E
DRAMA,50B
DRAMA,200
DRAMA,399
DRAMA,240
DRAMA,135
